"Qty";"Value";"Device";"Package";"Parts";"Description";"MOUSER";
"1";"";"M02PTH";"1X02";"JP1";"Header 2";"";
"1";"SKPDAMD010";"SKPDAMD010";"SKPDAMD010";"U$1";"";"688-SKPDAM";
