"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MOUSER";"NEWARK";
"1";"";"M05PTH";"1X05";"JP1";"Header 5";"";"";"";
"1";"MICRO_USB_B_HIROSE_ZX62-B-5PA(11)";"MICRO_USB_B_HIROSE_ZX62-B-5PA(11)";"USB_MICRO_B-HIROSE-ZX62-B-5PA(11)";"J1";"Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal";"H11634CT-ND";"798-ZX62-B-5PA11";"86P8793";
